race_id,date,course,track_type,distance,weather,track_moisture,field_size,horse_id,horse_name,umaban,waku,sex,age,jockey,weight_carried,horse_weight,horse_weight_diff,odds,popularity,finish_pos,is_synthetic
2023-01-01_京都_1,2023-01-01,京都,ダート,2000,晴,0.01,18,H0023,イーストクイーン,11,5,牝,4,川田,54.8,460.0,-0.0,10.8,3,8,1
2023-01-01_京都_1,2023-01-01,京都,ダート,2000,晴,0.01,18,H0019,タスティロード,12,5,牡,4,戸崎,57.1,496.0,4.0,3.0,1,6,1
2023-01-01_京都_1,2023-01-01,京都,ダート,2000,晴,0.01,18,H0059,イクイブラック,13,6,牡,4,鮫島駿,56.6,470.0,-2.0,16.0,7,4,1
2023-01-01_京都_1,2023-01-01,京都,ダート,2000,晴,0.01,18,H0063,ベラジオクイーン,14,6,牡,3,松山,56.5,457.0,-6.0,19.7,9,3,1
2023-01-01_京都_1,2023-01-01,京都,ダート,2000,晴,0.01,18,H0054,ジャスティンインパクト54,15,7,セ,2,戸崎,56.9,465.0,-0.0,15.6,6,5,1
2023-01-01_京都_1,2023-01-01,京都,ダート,2000,晴,0.01,18,H0075,ノースオペラ,16,7,牝,3,横山和,56.5,498.0,-10.0,41.4,14,11,1
2023-01-01_京都_1,2023-01-01,京都,ダート,2000,晴,0.01,18,H0051,シンエンペラーミラノ,17,8,牝,3,ルメール,55.1,473.0,-5.0,13.9,5,16,1
2023-01-01_京都_1,2023-01-01,京都,ダート,2000,晴,0.01,18,H0015,セントラルクイーン,18,8,牡,3,川田,52.6,490.0,-2.0,39.5,13,1,1
2023-01-03_札幌_2,2023-01-03,札幌,芝,3600,曇,0.06,11,H0042,プログノブラック,1,1,牡,3,坂井,54.5,456.0,1.0,118.1,10,8,1
2023-01-03_札幌_2,2023-01-03,札幌,芝,3600,曇,0.06,11,H0011,ノースインパクト,2,1,牡,2,西村,56.7,429.0,-5.0,3.3,2,1,1
2023-01-03_札幌_2,2023-01-03,札幌,芝,3600,曇,0.06,11,H0066,ハヤインパクト,3,2,牝,4,鮫島駿,53.8,476.0,4.0,18.0,6,7,1
2023-01-03_札幌_2,2023-01-03,札幌,芝,3600,曇,0.06,11,H0044,ソールオー,4,2,牡,4,松山,54.9,463.0,-1.0,18.3,7,4,1
2023-01-03_札幌_2,2023-01-03,札幌,芝,3600,曇,0.06,11,H0002,ステラノックス,5,3,牡,3,ルメール,56.9,463.0,-2.0,108.5,9,6,1
2023-01-03_札幌_2,2023-01-03,札幌,芝,3600,曇,0.06,11,H0038,プログノロード38,6,3,牝,2,川田,56.7,459.0,-5.0,4.9,3,5,1
2023-01-03_札幌_2,2023-01-03,札幌,芝,3600,曇,0.06,11,H0067,レガレイラホーン,7,4,セ,3,坂井,54.5,496.0,7.0,5.1,4,3,1
2023-01-03_札幌_2,2023-01-03,札幌,芝,3600,曇,0.06,11,H0008,ソールクイーン,8,5,牝,2,岩田望,56.0,489.0,-4.0,23.1,8,10,1
2023-01-03_札幌_2,2023-01-03,札幌,芝,3600,曇,0.06,11,H0036,ジャンタルロード,9,6,牝,4,ルメール,55.7,438.0,4.0,12.3,5,9,1
2023-01-03_札幌_2,2023-01-03,札幌,芝,3600,曇,0.06,11,H0057,リバティミラノ,10,7,セ,2,西村,53.6,535.0,-6.0,2.3,1,2,1
2023-01-03_札幌_2,2023-01-03,札幌,芝,3600,曇,0.06,11,H0026,ソールアイランド,11,8,牡,3,武豊,59.8,457.0,6.0,133.1,11,11,1
2023-01-05_阪神_3,2023-01-05,阪神,芝,3000,曇,0.05,13,H0043,サウスノックス,1,1,牝,4,横山和,57.4,485.0,2.0,36.2,10,8,1
2023-01-05_阪神_3,2023-01-05,阪神,芝,3000,曇,0.05,13,H0039,シンエンペラーオー,2,1,牡,2,横山和,58.3,468.0,-4.0,6.1,3,4,1
2023-01-05_阪神_3,2023-01-05,阪神,芝,3000,曇,0.05,13,H0051,シンエンペラーミラノ,3,2,牝,3,川田,56.1,467.0,-3.0,23.3,8,3,1
2023-01-05_阪神_3,2023-01-05,阪神,芝,3000,曇,0.05,13,H0053,サクラロード,4,2,牡,3,鮫島駿,53.1,457.0,-4.0,11.6,6,5,1
2023-01-05_阪神_3,2023-01-05,阪神,芝,3000,曇,0.05,13,H0008,ソールクイーン,5,3,牝,2,川田,55.2,481.0,4.0,36.3,11,6,1
2023-01-05_阪神_3,2023-01-05,阪神,芝,3000,曇,0.05,13,H0050,ドウデュースブラック,6,3,牝,2,戸崎,58.1,480.0,-9.0,6.9,4,7,1
2023-01-05_阪神_3,2023-01-05,阪神,芝,3000,曇,0.05,13,H0018,イーストホーン,7,4,牝,4,鮫島駿,57.1,490.0,-2.0,89.4,12,12,1
2023-01-05_阪神_3,2023-01-05,阪神,芝,3000,曇,0.05,13,H0026,ソールアイランド,8,4,牡,3,横山和,56.8,443.0,-6.0,184.6,13,13,1
2023-01-05_阪神_3,2023-01-05,阪神,芝,3000,曇,0.05,13,H0028,キタサンキング,9,5,牝,3,坂井,52.9,484.0,-2.0,23.9,9,9,1
2023-01-05_阪神_3,2023-01-05,阪神,芝,3000,曇,0.05,13,H0030,プログノロード,10,5,牡,4,鮫島駿,55.0,473.0,2.0,4.1,2,1,1
2023-01-05_阪神_3,2023-01-05,阪神,芝,3000,曇,0.05,13,H0066,ハヤインパクト,11,6,牝,4,西村,56.5,477.0,10.0,22.0,7,11,1
2023-01-05_阪神_3,2023-01-05,阪神,芝,3000,曇,0.05,13,H0013,ジャスティンインパクト,12,7,牝,2,松山,53.7,479.0,-5.0,9.3,5,10,1
2023-01-05_阪神_3,2023-01-05,阪神,芝,3000,曇,0.05,13,H0011,ノースインパクト,13,8,牡,2,横山武,54.6,428.0,-7.0,3.7,1,2,1
2023-01-08_中京_4,2023-01-08,中京,芝,3600,晴,0.06,8,H0033,サウスホーン,1,1,牝,2,松山,53.8,504.0,-2.0,84.6,6,3,1
2023-01-08_中京_4,2023-01-08,中京,芝,3600,晴,0.06,8,H0078,ハヤエリーゼ,2,2,牝,2,岩田望,56.2,453.0,-1.0,101.0,7,7,1
2023-01-08_中京_4,2023-01-08,中京,芝,3600,晴,0.06,8,H0009,リバティインパクト,3,3,牡,3,横山和,55.3,462.0,5.0,1.7,1,1,1
2023-01-08_中京_4,2023-01-08,中京,芝,3600,晴,0.06,8,H0016,ステラアイランド,4,4,牡,3,岩田望,56.8,449.0,-0.0,9.3,4,4,1
2023-01-08_中京_4,2023-01-08,中京,芝,3600,晴,0.06,8,H0029,ナミュールアイランド,5,5,牝,4,戸崎,56.9,468.0,-3.0,6.5,2,5,1
2023-01-08_中京_4,2023-01-08,中京,芝,3600,晴,0.06,8,H0034,ダノンオー,6,6,セ,4,ルメール,54.2,428.0,-5.0,38.1,5,6,1
2023-01-08_中京_4,2023-01-08,中京,芝,3600,晴,0.06,8,H0058,ディープアイランド,7,7,牡,3,坂井,56.3,516.0,7.0,327.6,8,8,1
2023-01-08_中京_4,2023-01-08,中京,芝,3600,晴,0.06,8,H0030,プログノロード,8,8,牡,4,ルメール,55.3,473.0,6.0,8.3,3,2,1
2023-01-10_新潟_5,2023-01-10,新潟,芝,2500,晴,0.1,15,H0063,ベラジオクイーン,1,1,牡,3,松山,55.4,462.0,2.0,6.1,3,3,1
2023-01-10_新潟_5,2023-01-10,新潟,芝,2500,晴,0.1,15,H0006,テンハッピーオー,2,1,牡,3,鮫島駿,57.1,492.0,-4.0,7.3,4,8,1
2023-01-10_新潟_5,2023-01-10,新潟,芝,2500,晴,0.1,15,H0059,イクイブラック,3,2,牡,4,横山武,56.0,474.0,-3.0,33.4,11,11,1
2023-01-10_新潟_5,2023-01-10,新潟,芝,2500,晴,0.1,15,H0062,ウエストキング,4,2,セ,4,ルメール,55.3,442.0,0.0,56.7,13,13,1
2023-01-10_新潟_5,2023-01-10,新潟,芝,2500,晴,0.1,15,H0061,ウエストロード,5,3,牡,2,横山和,55.2,492.0,-3.0,65.9,14,15,1
2023-01-10_新潟_5,2023-01-10,新潟,芝,2500,晴,0.1,15,H0008,ソールクイーン,6,3,牝,2,坂井,57.7,495.0,1.0,9.4,5,5,1
2023-01-10_新潟_5,2023-01-10,新潟,芝,2500,晴,0.1,15,H0010,ジャンタルオペラ,7,4,牡,3,武豊,57.8,468.0,4.0,33.2,10,6,1
2023-01-10_新潟_5,2023-01-10,新潟,芝,2500,晴,0.1,15,H0030,プログノロード,8,4,牡,4,鮫島駿,59.4,478.0,-5.0,5.3,2,10,1
2023-01-10_新潟_5,2023-01-10,新潟,芝,2500,晴,0.1,15,H0022,キタサンノックス,9,5,牡,2,坂井,55.5,472.0,11.0,67.7,15,12,1
2023-01-10_新潟_5,2023-01-10,新潟,芝,2500,晴,0.1,15,H0076,レガレイラアイランド,10,5,牡,3,西村,58.6,475.0,-12.0,10.0,6,2,1
2023-01-10_新潟_5,2023-01-10,新潟,芝,2500,晴,0.1,15,H0001,イーストオー,11,6,牝,2,武豊,57.0,483.0,5.0,2.3,1,1,1
2023-01-10_新潟_5,2023-01-10,新潟,芝,2500,晴,0.1,15,H0012,オルフェオペラ,12,6,牝,3,鮫島駿,57.1,485.0,-0.0,27.3,9,14,1
2023-01-10_新潟_5,2023-01-10,新潟,芝,2500,晴,0.1,15,H0043,サウスノックス,13,7,牝,4,鮫島駿,57.0,480.0,-0.0,17.0,7,7,1
2023-01-10_新潟_5,2023-01-10,新潟,芝,2500,晴,0.1,15,H0002,ステラノックス,14,7,牡,3,戸崎,57.5,469.0,-14.0,47.6,12,4,1
2023-01-10_新潟_5,2023-01-10,新潟,芝,2500,晴,0.1,15,H0016,ステラアイランド,15,8,牡,3,坂井,54.4,467.0,6.0,19.3,8,9,1
2023-01-12_小倉_6,2023-01-12,小倉,ダート,2400,晴,0.01,16,H0042,プログノブラック,1,1,牡,3,川田,57.3,457.0,5.0,37.5,13,13,1
2023-01-12_小倉_6,2023-01-12,小倉,ダート,2400,晴,0.01,16,H0059,イクイブラック,2,1,牡,4,川田,54.3,478.0,-9.0,9.5,5,11,1
2023-01-12_小倉_6,2023-01-12,小倉,ダート,2400,晴,0.01,16,H0040,イクイノックス,3,2,牝,3,ルメール,55.0,484.0,-13.0,11.0,7,9,1
2023-01-12_小倉_6,2023-01-12,小倉,ダート,2400,晴,0.01,16,H0015,セントラルクイーン,4,2,牡,3,横山武,55.1,492.0,3.0,20.1,11,2,1
2023-01-12_小倉_6,2023-01-12,小倉,ダート,2400,晴,0.01,16,H0004,ジャンタルオー,5,3,牡,4,ルメール,58.8,485.0,7.0,19.7,10,10,1
2023-01-12_小倉_6,2023-01-12,小倉,ダート,2400,晴,0.01,16,H0044,ソールオー,6,3,牡,4,横山和,57.3,469.0,7.0,9.0,4,5,1
2023-01-12_小倉_6,2023-01-12,小倉,ダート,2400,晴,0.01,16,H0028,キタサンキング,7,4,牝,3,岩田望,54.9,489.0,-6.0,24.5,12,6,1
2023-01-12_小倉_6,2023-01-12,小倉,ダート,2400,晴,0.01,16,H0061,ウエストロード,8,4,牡,2,松山,53.6,490.0,9.0,286.9,16,16,1
2023-01-12_小倉_6,2023-01-12,小倉,ダート,2400,晴,0.01,16,H0045,ノースブラック,9,5,牝,4,ルメール,52.4,521.0,-7.0,11.6,8,7,1
2023-01-12_小倉_6,2023-01-12,小倉,ダート,2400,晴,0.01,16,H0038,プログノロード38,10,5,牝,2,菅原明,55.7,459.0,1.0,8.1,2,4,1
2023-01-12_小倉_6,2023-01-12,小倉,ダート,2400,晴,0.01,16,H0023,イーストクイーン,11,6,牝,4,岩田望,56.4,462.0,-1.0,10.0,6,1,1
2023-01-12_小倉_6,2023-01-12,小倉,ダート,2400,晴,0.01,16,H0003,プログノオペラ,12,6,牡,4,鮫島駿,52.8,482.0,-0.0,59.3,15,14,1
2023-01-12_小倉_6,2023-01-12,小倉,ダート,2400,晴,0.01,16,H0075,ノースオペラ,13,7,牝,3,ルメール,54.9,496.0,1.0,8.4,3,8,1
2023-01-12_小倉_6,2023-01-12,小倉,ダート,2400,晴,0.01,16,H0018,イーストホーン,14,7,牝,4,西村,54.6,468.0,-4.0,56.1,14,15,1
2023-01-12_小倉_6,2023-01-12,小倉,ダート,2400,晴,0.01,16,H0013,ジャスティンインパクト,15,8,牝,2,坂井,57.2,465.0,2.0,14.3,9,3,1
2023-01-12_小倉_6,2023-01-12,小倉,ダート,2400,晴,0.01,16,H0027,タスティインパクト,16,8,牡,2,岩田望,59.1,474.0,14.0,5.9,1,12,1
2023-01-15_東京_7,2023-01-15,東京,芝,1000,晴,0.1,16,H0006,テンハッピーオー,1,1,牡,3,坂井,54.8,481.0,-0.0,12.5,6,10,1
2023-01-15_東京_7,2023-01-15,東京,芝,1000,晴,0.1,16,H0022,キタサンノックス,2,1,牡,2,岩田望,55.9,478.0,-11.0,445.7,15,16,1
2023-01-15_東京_7,2023-01-15,東京,芝,1000,晴,0.1,16,H0020,サウスオペラ,3,2,牡,2,ルメール,55.8,497.0,-5.0,258.9,12,12,1
2023-01-15_東京_7,2023-01-15,東京,芝,1000,晴,0.1,16,H0004,ジャンタルオー,4,2,牡,4,戸崎,56.3,478.0,4.0,312.3,13,9,1
2023-01-15_東京_7,2023-01-15,東京,芝,1000,晴,0.1,16,H0032,レガレイラオペラ,5,3,牝,2,菅原明,57.3,495.0,-3.0,3.5,1,5,1
2023-01-15_東京_7,2023-01-15,東京,芝,1000,晴,0.1,16,H0014,セントラルオペラ,6,3,牡,4,鮫島駿,57.8,492.0,7.0,11.7,5,6,1
2023-01-15_東京_7,2023-01-15,東京,芝,1000,晴,0.1,16,H0058,ディープアイランド,7,4,牡,3,横山和,58.1,512.0,-1.0,7.9,3,1,1
2023-01-15_東京_7,2023-01-15,東京,芝,1000,晴,0.1,16,H0053,サクラロード,8,4,牡,3,菅原明,57.2,456.0,-8.0,79.8,11,11,1
2023-01-15_東京_7,2023-01-15,東京,芝,1000,晴,0.1,16,H0035,ノースノックス,9,5,牝,2,戸崎,56.3,427.0,-3.0,800.0,16,15,1
2023-01-15_東京_7,2023-01-15,東京,芝,1000,晴,0.1,16,H0052,サクラエリーゼ,10,5,牝,2,西村,53.4,478.0,-5.0,368.6,14,14,1
2023-01-15_東京_7,2023-01-15,東京,芝,1000,晴,0.1,16,H0025,ミカロード,11,6,牝,2,横山武,56.0,466.0,5.0,21.1,7,7,1
2023-01-15_東京_7,2023-01-15,東京,芝,1000,晴,0.1,16,H0049,アーバンキング,12,6,牝,2,横山武,55.9,487.0,-1.0,28.2,9,13,1
2023-01-15_東京_7,2023-01-15,東京,芝,1000,晴,0.1,16,H0070,ブローザロード,13,7,牝,4,武豊,54.8,470.0,2.0,5.1,2,3,1
2023-01-15_東京_7,2023-01-15,東京,芝,1000,晴,0.1,16,H0060,ジャスティンホーン,14,7,牡,4,菅原明,55.5,486.0,4.0,24.9,8,2,1
2023-01-15_東京_7,2023-01-15,東京,芝,1000,晴,0.1,16,H0072,アーバンホーン,15,8,牡,4,菅原明,58.6,469.0,-0.0,47.0,10,8,1
2023-01-15_東京_7,2023-01-15,東京,芝,1000,晴,0.1,16,H0066,ハヤインパクト,16,8,牝,4,川田,54.7,472.0,-9.0,9.3,4,4,1
2023-01-17_札幌_8,2023-01-17,札幌,芝,2200,雨,0.01,10,H0070,ブローザロード,1,1,牝,4,戸崎,55.9,468.0,-1.0,8.1,2,3,1
2023-01-17_札幌_8,2023-01-17,札幌,芝,2200,雨,0.01,10,H0032,レガレイラオペラ,2,1,牝,2,横山武,57.3,499.0,8.0,14.1,6,2,1
2023-01-17_札幌_8,2023-01-17,札幌,芝,2200,雨,0.01,10,H0045,ノースブラック,3,2,牝,4,菅原明,56.5,521.0,-4.0,58.7,9,10,1
2023-01-17_札幌_8,2023-01-17,札幌,芝,2200,雨,0.01,10,H0059,イクイブラック,4,2,牡,4,横山武,56.8,473.0,3.0,12.8,4,8,1
2023-01-17_札幌_8,2023-01-17,札幌,芝,2200,雨,0.01,10,H0041,ドウデュースオペラ,5,3,牡,2,岩田望,58.1,439.0,3.0,13.7,5,4,1
2023-01-17_札幌_8,2023-01-17,札幌,芝,2200,雨,0.01,10,H0038,プログノロード38,6,4,牝,2,西村,58.3,462.0,1.0,18.3,7,6,1
2023-01-17_札幌_8,2023-01-17,札幌,芝,2200,雨,0.01,10,H0013,ジャスティンインパクト,7,5,牝,2,坂井,53.8,483.0,-7.0,1.6,1,1,1
2023-01-17_札幌_8,2023-01-17,札幌,芝,2200,雨,0.01,10,H0071,テンハッピーアイランド,8,6,牡,4,川田,58.4,492.0,-5.0,30.2,8,7,1
2023-01-17_札幌_8,2023-01-17,札幌,芝,2200,雨,0.01,10,H0066,ハヤインパクト,9,7,牝,4,松山,57.8,472.0,4.0,8.2,3,5,1
2023-01-17_札幌_8,2023-01-17,札幌,芝,2200,雨,0.01,10,H0003,プログノオペラ,10,8,牡,4,菅原明,57.5,488.0,-1.0,106.4,10,9,1
2023-01-19_小倉_9,2023-01-19,小倉,芝,1000,晴,0.03,16,H0034,ダノンオー,1,1,セ,4,武豊,54.3,447.0,6.0,128.3,16,16,1
2023-01-19_小倉_9,2023-01-19,小倉,芝,1000,晴,0.03,16,H0066,ハヤインパクト,2,1,牝,4,坂井,57.5,477.0,1.0,3.1,1,3,1
2023-01-19_小倉_9,2023-01-19,小倉,芝,1000,晴,0.03,16,H0030,プログノロード,3,2,牡,4,横山武,54.3,481.0,4.0,29.6,10,6,1
2023-01-19_小倉_9,2023-01-19,小倉,芝,1000,晴,0.03,16,H0047,リバティホーン,4,2,牡,2,横山和,52.2,510.0,17.0,7.1,3,2,1
2023-01-19_小倉_9,2023-01-19,小倉,芝,1000,晴,0.03,16,H0051,シンエンペラーミラノ,5,3,牝,3,川田,57.1,462.0,11.0,16.6,8,9,1
2023-01-19_小倉_9,2023-01-19,小倉,芝,1000,晴,0.03,16,H0075,ノースオペラ,6,3,牝,3,松山,58.2,511.0,10.0,44.7,11,15,1
2023-01-19_小倉_9,2023-01-19,小倉,芝,1000,晴,0.03,16,H0048,ソールクイーン48,7,4,牡,2,菅原明,58.3,442.0,-0.0,82.5,13,10,1
2023-01-19_小倉_9,2023-01-19,小倉,芝,1000,晴,0.03,16,H0021,イーストアイランド,8,4,牡,2,坂井,55.7,494.0,-13.0,127.9,15,13,1
2023-01-19_小倉_9,2023-01-19,小倉,芝,1000,晴,0.03,16,H0024,ステラキング,9,5,牡,2,川田,53.4,473.0,1.0,7.8,5,1,1
2023-01-19_小倉_9,2023-01-19,小倉,芝,1000,晴,0.03,16,H0029,ナミュールアイランド,10,5,牝,4,菅原明,55.8,469.0,-1.0,7.2,4,5,1
2023-01-19_小倉_9,2023-01-19,小倉,芝,1000,晴,0.03,16,H0023,イーストクイーン,11,6,牝,4,横山和,58.9,463.0,8.0,29.2,9,8,1
2023-01-19_小倉_9,2023-01-19,小倉,芝,1000,晴,0.03,16,H0038,プログノロード38,12,6,牝,2,戸崎,57.8,456.0,-5.0,59.1,12,14,1
2023-01-19_小倉_9,2023-01-19,小倉,芝,1000,晴,0.03,16,H0052,サクラエリーゼ,13,7,牝,2,坂井,55.5,475.0,5.0,109.8,14,12,1
2023-01-19_小倉_9,2023-01-19,小倉,芝,1000,晴,0.03,16,H0026,ソールアイランド,14,7,牡,3,戸崎,55.6,446.0,-8.0,15.7,7,11,1
2023-01-19_小倉_9,2023-01-19,小倉,芝,1000,晴,0.03,16,H0000,ウエストオペラ,15,8,牝,4,戸崎,56.2,452.0,10.0,15.3,6,7,1
2023-01-19_小倉_9,2023-01-19,小倉,芝,1000,晴,0.03,16,H0025,ミカロード,16,8,牝,2,西村,56.3,463.0,-5.0,3.5,2,4,1
2023-01-22_函館_10,2023-01-22,函館,芝,2000,晴,0.18,9,H0041,ドウデュースオペラ,1,1,牡,2,ルメール,56.4,427.0,-11.0,5.9,4,1,1
2023-01-22_函館_10,2023-01-22,函館,芝,2000,晴,0.18,9,H0002,ステラノックス,2,1,牡,3,横山和,58.0,458.0,-6.0,55.9,8,3,1
2023-01-22_函館_10,2023-01-22,函館,芝,2000,晴,0.18,9,H0071,テンハッピーアイランド,3,2,牡,4,川田,56.8,498.0,-0.0,88.4,9,8,1
2023-01-22_函館_10,2023-01-22,函館,芝,2000,晴,0.18,9,H0078,ハヤエリーゼ,4,3,牝,2,鮫島駿,55.5,456.0,-3.0,16.5,7,4,1
2023-01-22_函館_10,2023-01-22,函館,芝,2000,晴,0.18,9,H0010,ジャンタルオペラ,5,4,牡,3,鮫島駿,55.3,478.0,5.0,9.7,5,9,1
2023-01-22_函館_10,2023-01-22,函館,芝,2000,晴,0.18,9,H0076,レガレイラアイランド,6,5,牡,3,川田,55.1,476.0,-5.0,3.5,3,7,1
2023-01-22_函館_10,2023-01-22,函館,芝,2000,晴,0.18,9,H0029,ナミュールアイランド,7,6,牝,4,鮫島駿,56.4,472.0,-1.0,2.8,2,5,1
2023-01-22_函館_10,2023-01-22,函館,芝,2000,晴,0.18,9,H0069,サクラエリーゼ69,8,7,牡,3,戸崎,60.0,476.0,5.0,2.5,1,6,1
2023-01-22_函館_10,2023-01-22,函館,芝,2000,晴,0.18,9,H0049,アーバンキング,9,8,牝,2,横山和,55.9,494.0,-1.0,11.3,6,2,1
2023-01-24_小倉_11,2023-01-24,小倉,芝,3200,大雨,0.01,14,H0040,イクイノックス,1,1,牝,3,ルメール,57.9,475.0,6.0,125.4,12,12,1
2023-01-24_小倉_11,2023-01-24,小倉,芝,3200,大雨,0.01,14,H0071,テンハッピーアイランド,2,1,牡,4,岩田望,56.0,517.0,0.0,136.3,13,10,1
2023-01-24_小倉_11,2023-01-24,小倉,芝,3200,大雨,0.01,14,H0024,ステラキング,3,2,牡,2,岩田望,55.1,485.0,12.0,37.5,7,5,1
2023-01-24_小倉_11,2023-01-24,小倉,芝,3200,大雨,0.01,14,H0023,イーストクイーン,4,2,牝,4,坂井,56.0,456.0,-7.0,51.9,9,8,1
2023-01-24_小倉_11,2023-01-24,小倉,芝,3200,大雨,0.01,14,H0064,イーストミラノ,5,3,牝,4,西村,57.1,446.0,4.0,11.9,4,6,1
2023-01-24_小倉_11,2023-01-24,小倉,芝,3200,大雨,0.01,14,H0030,プログノロード,6,3,牡,4,戸崎,55.8,469.0,-4.0,5.5,3,4,1
2023-01-24_小倉_11,2023-01-24,小倉,芝,3200,大雨,0.01,14,H0078,ハヤエリーゼ,7,4,牝,2,菅原明,53.4,462.0,-8.0,60.1,10,7,1
2023-01-24_小倉_11,2023-01-24,小倉,芝,3200,大雨,0.01,14,H0037,ダノンオペラ,8,4,牡,3,戸崎,57.2,481.0,-3.0,47.8,8,2,1
2023-01-24_小倉_11,2023-01-24,小倉,芝,3200,大雨,0.01,14,H0046,ナミュールエリーゼ,9,5,牝,4,西村,57.9,493.0,4.0,327.2,14,13,1
2023-01-24_小倉_11,2023-01-24,小倉,芝,3200,大雨,0.01,14,H0049,アーバンキング,10,5,牝,2,坂井,56.0,483.0,13.0,3.6,2,1,1
2023-01-24_小倉_11,2023-01-24,小倉,芝,3200,大雨,0.01,14,H0016,ステラアイランド,11,6,牡,3,横山和,55.5,461.0,5.0,15.1,5,11,1
2023-01-24_小倉_11,2023-01-24,小倉,芝,3200,大雨,0.01,14,H0054,ジャスティンインパクト54,12,6,セ,2,西村,56.6,455.0,-5.0,68.5,11,14,1
2023-01-24_小倉_11,2023-01-24,小倉,芝,3200,大雨,0.01,14,H0009,リバティインパクト,13,7,牡,3,戸崎,55.7,481.0,-12.0,1.9,1,3,1
2023-01-24_小倉_11,2023-01-24,小倉,芝,3200,大雨,0.01,14,H0004,ジャンタルオー,14,8,牡,4,横山武,55.7,489.0,-2.0,25.9,6,9,1
2023-01-26_中山_12,2023-01-26,中山,ダート,2400,小雨,0.06,8,H0061,ウエストロード,1,1,牡,2,川田,59.3,487.0,-2.0,86.6,8,8,1
2023-01-26_中山_12,2023-01-26,中山,ダート,2400,小雨,0.06,8,H0002,ステラノックス,2,2,牡,3,松山,55.2,470.0,-3.0,8.2,6,4,1
2023-01-26_中山_12,2023-01-26,中山,ダート,2400,小雨,0.06,8,H0015,セントラルクイーン,3,3,牡,3,戸崎,57.0,481.0,1.0,7.1,5,6,1
2023-01-26_中山_12,2023-01-26,中山,ダート,2400,小雨,0.06,8,H0046,ナミュールエリーゼ,4,4,牝,4,西村,59.1,480.0,1.0,21.7,7,7,1
2023-01-26_中山_12,2023-01-26,中山,ダート,2400,小雨,0.06,8,H0009,リバティインパクト,5,5,牡,3,鮫島駿,56.4,458.0,4.0,4.1,1,2,1
2023-01-26_中山_12,2023-01-26,中山,ダート,2400,小雨,0.06,8,H0079,ハヤエリーゼ79,6,6,牡,2,菅原明,53.8,463.0,-1.0,5.3,3,5,1
2023-01-26_中山_12,2023-01-26,中山,ダート,2400,小雨,0.06,8,H0044,ソールオー,7,7,牡,4,横山和,55.6,464.0,-13.0,6.6,4,3,1
2023-01-26_中山_12,2023-01-26,中山,ダート,2400,小雨,0.06,8,H0062,ウエストキング,8,8,セ,4,横山武,57.3,433.0,-2.0,4.8,2,1,1
2023-01-29_京都_1,2023-01-29,京都,芝,1800,晴,0.08,18,H0027,タスティインパクト,1,1,牡,2,武豊,55.0,461.0,14.0,39.3,14,10,1
2023-01-29_京都_1,2023-01-29,京都,芝,1800,晴,0.08,18,H0007,ウエストクイーン,2,1,牝,3,武豊,56.1,470.0,-4.0,4.1,1,2,1
2023-01-29_京都_1,2023-01-29,京都,芝,1800,晴,0.08,18,H0005,ジャスティンミラノ,3,1,牡,4,横山武,58.7,451.0,3.0,10.1,5,6,1
2023-01-29_京都_1,2023-01-29,京都,芝,1800,晴,0.08,18,H0014,セントラルオペラ,4,2,牡,4,西村,54.2,494.0,2.0,6.0,3,3,1
